,Acculynk (Acquired by First Data),Aeris Secure,Axiado,AllClear ID,Cybereason
CyberArk,86.87,78.46,95.65,100.0,90.97
Nitromia,75.89,66.47,89.28,100.0,78.22
Matchbox Streaming,75.69,62.54,86.01,100.0,76.99
GlobeKeeper,84.97,72.77,94.33,100.0,90.01
Votiro Cybersec,76.69,64.1,90.74,100.0,86.81
